OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-03-01T00:00:00,2023-03-31T23:59:59,Month,2023-03,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,233430,291441,199001,155346,105426
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-03-01T00:00:00,2023-03-31T23:59:59,Month,2023-03,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,180967,294909,198336,150536,111449
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-03-01T00:00:00,2023-03-31T23:59:59,Month,2023-03,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,267247,327153,221011,179341,114545
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-03-01T00:00:00,2023-03-31T23:59:59,Month,2023-03,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,238033,297018,203053,162352,94814
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-03-01T00:00:00,2023-03-31T23:59:59,Month,2023-03,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,271419,387021,247089,196646,124338
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-03-01T00:00:00,2023-03-31T23:59:59,Month,2023-03,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,209060,278469,178825,142857,101579
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,237057,316470,210493,167139,113388
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,196824,271950,169668,135108,93513
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,236454,294821,201580,158372,106762
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,185780,301228,203298,155309,114252
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,268406,328000,222156,181166,115235
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,242975,302807,207333,166588,97213
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,277127,393741,252478,201987,127358
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,216882,288095,185431,149135,105739
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,238509,318437,211717,168335,113895
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,199707,275786,172108,137400,95059
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,237857,296396,202698,159740,107578
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,184656,298615,202049,154721,113395
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,273757,334217,226655,185217,117714
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,242106,301683,206417,166177,97408
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,275715,391011,251308,201494,126994
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,220708,292854,188579,152141,107973
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,239325,318917,212491,169628,114887
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,195892,270245,168868,135143,93512
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,238167,296634,202935,160246,107967
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,189331,306024,206942,158825,116307
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,272869,333153,225770,184779,117551
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,244999,305241,208812,168336,98849
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,277174,392865,252536,202776,128065
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,220394,292226,188241,152245,108018
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,238923,318975,211966,168832,113854
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,198188,273643,170684,136599,94234
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,234421,292193,199523,157610,105870
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,186958,302559,204276,156819,114576
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,277858,339496,229685,187975,119120
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,246410,307219,209796,169158,98940
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,276075,391855,251302,201823,126873
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,218708,290324,186563,150898,106793
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,238754,318311,211950,169148,114074
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,200192,276566,172219,137976,95037
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,231686,288723,197211,155900,104629
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,188627,305120,206048,158279,115691
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,275003,335948,227281,186243,118108
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,247769,308953,210909,170052,99495
